backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,001,full,-3.3565673828125,0.0,5,0,0.0,True,4,4,38118
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,002,full,-4.346963882446289,0.0,5,0,0.0,True,5,4,37655
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,003,full,-3.2602787017822266,0.0,5,1,0.2,True,4,2,39089
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,004,full,-7.159950256347656,0.0,5,0,0.0,True,5,0,38213
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,005,full,-10.076349258422852,0.0,5,0,0.0,True,3,0,36646
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,006,full,-3.715871810913086,0.0,5,0,0.0,True,3,1,36315
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,007,full,-19.72858428955078,0.0,5,0,0.0,True,2,1,35163
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,008,full,-8.466468811035156,0.0,5,0,0.0,True,4,0,36116
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,009,full,-4.290790557861328,0.0,5,0,0.0,True,4,1,39983
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,010,full,-3.3845176696777344,0.0,5,0,0.0,True,5,1,40927
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,011,full,-4.418552398681641,0.0,5,0,0.0,True,0,0,34101
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,012,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,38797
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,013,full,-2.772481918334961,0.0,5,0,0.0,True,4,1,36191
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,014,full,-10.13772201538086,0.0,3,0,0.0,True,3,1,21986
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,015,full,-1.094757080078125,0.0,4,0,0.0,True,3,3,37435
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,016,full,-10.360984802246094,0.0,5,0,0.0,True,2,2,35824
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,017,full,-2.7166519165039062,0.0,5,0,0.0,True,4,0,37827
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,018,full,-7.854732513427734,0.0,5,0,0.0,True,5,2,43061
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,019,full,-1.855987548828125,0.0,5,0,0.0,True,4,1,55337
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,020,full,-7.707094192504883,0.0,4,0,0.0,True,2,0,36664
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,021,full,-5.017307281494141,0.0,5,0,0.0,True,4,0,39479
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,022,full,-3.6048831939697266,0.0,5,0,0.0,True,3,0,35928
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,023,full,-3.439350128173828,0.0,5,0,0.0,True,1,0,37245
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,024,full,-5.222927093505859,0.0,5,0,0.0,True,4,0,37002
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,025,full,-3.549367904663086,0.0,5,0,0.0,True,3,0,36429
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,026,full,-7.434551239013672,0.0,5,0,0.0,True,4,0,56350
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,027,full,-7.403881072998047,0.0,5,1,0.2,True,2,1,33378
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,028,full,-3.876556396484375,0.0,5,0,0.0,True,5,2,55649
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,029,full,-8.870079040527344,0.0,5,0,0.0,True,4,3,39586
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,030,full,-5.085487365722656,0.0,5,0,0.0,True,3,0,59639
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,031,full,-5.4748687744140625,0.0,5,0,0.0,True,2,0,36606
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,032,full,-7.1137237548828125,0.0,5,0,0.0,True,4,2,38322
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,033,full,-4.546131134033203,0.0,5,0,0.0,True,4,1,37865
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,034,full,-6.991722106933594,0.0,5,0,0.0,True,4,3,37200
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,035,full,-6.2419891357421875,0.0,5,0,0.0,True,4,0,37250
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,036,full,-10.208537101745604,0.0,5,0,0.0,True,5,0,39933
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,037,full,-5.747974395751953,0.0,5,0,0.0,True,5,0,54438
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,038,full,-3.3191909790039062,0.0,4,0,0.0,True,3,0,30511
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,039,full,-5.362604141235352,0.0,5,0,0.0,True,4,2,36625
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,040,full,-9.356441497802734,0.0,5,0,0.0,True,4,1,37492
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,041,full,-4.743199110031128,0.0,3,0,0.0,True,1,0,26157
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,042,full,-3.283937454223633,0.0,4,1,0.25,True,3,0,35369
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,043,full,-7.811830520629883,0.0,5,0,0.0,True,5,1,40380
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,044,full,-2.736175537109375,0.0,5,1,0.2,True,3,2,38757
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,045,full,-1.351470947265625,0.0,5,1,0.2,True,4,3,39030
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,046,full,-4.248908996582031,0.0,5,0,0.0,True,3,0,35840
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,047,full,-2.125509262084961,0.0,5,0,0.0,True,2,0,33552
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,048,full,-11.657648086547852,0.0,4,0,0.0,True,4,0,38315
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,049,full,-8.627861022949219,0.0,5,0,0.0,True,5,0,57211
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,050,full,-3.5041396617889404,0.0,5,0,0.0,True,5,0,36920
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,051,full,-3.134526014328003,0.0,5,0,0.0,True,4,0,36769
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,052,full,-0.1671791076660156,0.0,5,0,0.0,True,0,1,33553
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,053,full,,,1,0,0.0,False,1,1,21568
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,054,full,-11.695274353027344,0.0,5,0,0.0,True,3,0,46911
