case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,full,-3.628666639328003,0.0,4,0,0.0,True,3,0,28533
02,full,-4.764980316162109,0.0,4,0,0.0,True,3,0,29760
03,full,-3.351048231124878,0.0,3,0,0.0,True,1,0,21493
04,full,-2.258951187133789,0.0,5,0,0.0,True,3,1,32899
05,full,-2.9417006969451904,0.0,5,0,0.0,True,2,0,27623
06,full,-1.9227848052978516,0.0,5,0,0.0,True,2,1,30180
07,full,-7.005192518234253,0.0,4,0,0.0,True,3,0,28472
08,full,-6.910898208618164,0.0,5,0,0.0,True,4,2,32625
09,full,-1.9522991180419922,0.0,2,0,0.0,True,1,0,14653
10,full,-2.7150115966796875,0.0,3,0,0.0,True,2,0,20944
11,full,-2.437986373901367,0.0,2,0,0.0,True,1,0,15124
12,full,-2.346036911010742,0.0,3,0,0.0,True,2,0,21554
13,full,-2.8248958587646484,0.0,3,0,0.0,True,2,0,22031
14,full,-3.456451416015625,0.0,4,0,0.0,True,3,0,28459
15,full,-3.57489013671875,0.0,4,0,0.0,True,4,0,29197
16,full,-4.79632568359375,0.0,5,0,0.0,True,4,0,30095
17,full,-3.2786941528320312,0.0,5,0,0.0,True,3,0,28492
18,full,-3.2236251831054688,0.0,4,0,0.0,True,2,0,28111
19,full,-4.137535095214844,0.0,5,0,0.0,True,5,0,31043
20,full,-8.90877914428711,0.0,5,0,0.0,True,5,1,33307
