case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,no_forbid,-3.630131483078003,6.103515625e-05,5,0,0.0,True,4,0,42236
02,no_forbid,-4.769039154052734,-0.0030193328857421875,5,0,0.0,True,4,0,42752
03,no_forbid,-3.351963758468628,0.0,5,0,0.0,True,2,0,26477
04,no_forbid,-2.0389671325683594,0.0213623046875,5,0,0.0,True,4,3,43738
05,no_forbid,-2.961643934249878,0.0,3,0,0.0,True,1,0,19939
06,no_forbid,-1.8745841979980469,0.2900543212890625,5,0,0.0,True,2,1,29421
07,no_forbid,-7.051090955734253,0.0,5,0,0.0,True,5,0,26695
08,no_forbid,-6.414363861083984,0.0,5,0,0.0,True,4,4,33546
09,no_forbid,-1.9912567138671875,-0.017324447631835938,3,0,0.0,True,0,0,30505
10,no_forbid,-2.7176666259765625,0.0,3,0,0.0,True,2,0,28410
11,no_forbid,-2.4184722900390625,-0.029876708984375,3,0,0.0,True,2,0,21364
12,no_forbid,-2.3513641357421875,0.0,3,0,0.0,True,2,0,31591
13,no_forbid,-2.8251419067382812,0.0,3,0,0.0,True,2,0,32398
14,no_forbid,-3.5911407470703125,0.025491714477539062,4,0,0.0,True,2,0,30459
15,no_forbid,-2.9635696411132812,0.2941398620605469,5,1,0.2,True,2,0,38062
16,no_forbid,-4.662910461425781,0.0,5,0,0.0,True,2,1,42130
17,no_forbid,-3.0643310546875,0.15788650512695312,5,1,0.2,True,4,0,47164
18,no_forbid,-3.1291351318359375,-0.350341796875,5,0,0.0,True,5,0,46938
19,no_forbid,-4.099582672119141,-0.055919647216796875,5,0,0.0,True,4,0,49804
20,no_forbid,-11.652278900146484,0.0,5,0,0.0,True,5,0,44549
